Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
400,12594,Stephen Hauschka,BUF,null,36,K,K23,null,null,null,null,null,353
401,15866,Josh Hill,NO,null,31,TE,TE42,724,724,724,724,724,354
402,18935,Gerald Everett,LAR,7,27,TE,TE43,null,null,null,null,null,355
403,8750,Ryan Succop,TEN,9,35,K,K24,null,null,null,null,null,356
404,18030,Chris Moore,BAL,null,28,WR,WR155,932,932,932,932,932,357
405,17141,Damiere Byrd,CAR,6,29,WR,WR156,null,null,null,null,null,358
406,16441,Senorise Perry,MIA,null,30,RB,RB112,null,null,null,null,null,359
407,18973,C.J. Beathard,SF,7,28,QB,QB40,null,null,null,null,null,360
408,11756,Benjamin Watson,BAL,null,41,TE,TE44,null,null,null,null,null,361
409,8373,Brandon Tate,BUF,null,34,WR,WR157,null,null,null,null,null,362
410,17070,Darius Jennings,TEN,null,29,WR,WR158,null,null,null,null,null,363
411,14549,Joe Banyard,BUF,null,33,RB,RB113,null,null,null,null,null,364
412,17215,Jason Myers,JAX,9,30,K,K25,null,null,null,null,null,365
413,18057,Seth DeValve,CLE,null,29,TE,TE45,null,null,null,null,null,366
414,18401,Tommylee Lewis,NO,null,29,WR,WR159,989,989,989,989,989,367
415,13117,Dwayne Harris,NYG,null,34,WR,WR160,null,null,null,null,null,368
416,16893,DeAndre Smelter,SF,null,30,WR,WR161,null,null,null,null,null,369
417,19131,Robert Davis,WAS,null,27,WR,WR162,null,null,null,null,null,370
418,17754,Will Tye,NYJ,null,30,TE,TE46,null,null,null,null,null,371
419,16651,Walter Powell,BUF,null,30,WR,WR163,null,null,null,null,null,372
420,16480,Jeff Janis,GB,null,30,WR,WR164,null,null,null,null,null,373
421,16236,Cody Parkey,MIA,null,30,K,K26,741,741,741,741,741,374
422,18645,Aldrick Rosas,NYG,9,27,K,K27,null,null,null,null,null,375
423,17355,Quan Bray,IND,null,29,WR,WR165,null,null,null,null,null,376
424,18088,Alex Collins,BAL,null,27,RB,RB114,282,282,282,282,282,377
425,14697,Greg Zuerlein,LAR,6,34,K,K28,null,null,null,null,null,378
426,10092,Connor Barth,CHI,null,36,K,K29,null,null,null,null,null,379
427,19079,Zane Gonzalez,CLE,null,26,K,K30,491,491,491,491,491,380
428,16864,Bryce Petty,NYJ,null,30,QB,QB41,null,null,null,null,null,381
429,16816,Maxx Williams,BAL,12,28,TE,TE47,null,null,null,null,null,382
430,17004,Tre McBride,CHI,null,29,WR,WR166,null,null,null,null,null,383
431,18422,Kalif Raymond,NYJ,9,27,WR,WR167,null,null,null,null,null,384
432,3601,Eric Weems,TEN,null,36,WR,WR168,null,null,null,null,null,385
433,1410,Robbie Gould,SF,6,39,K,K31,null,null,null,null,null,386
434,18611,Bryce Treggs,PHI,null,28,WR,WR169,null,null,null,null,null,387
435,16644,Chandler Catanzaro,NYJ,null,31,K,K32,null,null,null,null,null,388
436,19015,Jehu Chesson,KC,null,29,WR,WR170,null,null,null,null,null,389
437,19120,David Moore,SEA,10,27,WR,WR171,null,null,null,null,null,390
438,16884,Vince Mayle,BAL,null,30,WR,WR172,null,null,null,null,null,391
439,18253,D.J. Foster,NE,null,28,RB,RB115,null,null,null,null,null,392
440,18999,Jordan Leggett,NYJ,null,27,TE,TE48,null,null,null,null,null,393
441,15191,Austin Johnson,TB,null,32,FB,RB116,null,null,null,null,null,394
442,18516,Jace Billingsley,DET,null,28,WR,WR173,null,null,null,null,null,395
443,16988,Ben Koyack,JAX,null,29,TE,TE49,null,null,null,null,null,396
444,19006,Josh Malone,CIN,13,26,WR,WR174,null,null,null,null,null,397
445,11345,Logan Paulsen,SF,null,35,TE,TE50,null,null,null,null,null,398
446,15305,Demetrius Harris,KC,null,30,TE,TE51,510,510,510,510,510,399
447,19080,Noah Brown,DAL,null,26,WR,WR175,311,311,311,311,311,400
448,19054,Rodney Adams,MIN,6,27,WR,WR176,null,null,null,null,null,401
449,19100,Stacy Coley,MIN,null,27,WR,WR177,null,null,null,null,null,402
450,5834,Matt Moore,MIA,null,37,QB,QB42,null,null,null,null,null,403
451,16731,Chris Matthews,BAL,null,32,WR,WR178,null,null,null,null,null,404
452,15038,Tavarres King,NYG,null,31,WR,WR179,null,null,null,null,null,405
453,19060,Shelton Gibson,PHI,null,27,WR,WR180,null,null,null,null,null,406
454,13016,Virgil Green,DEN,null,33,TE,TE52,null,null,null,null,null,408
455,18145,Demarcus Ayers,NE,null,27,WR,WR181,null,null,null,null,null,409
456,16850,Sean Mannion,LAR,7,30,QB,QB43,null,null,null,null,null,410
457,18234,Paul McRoberts,LAR,null,29,WR,WR182,null,null,null,null,null,411
458,17066,Terrell Watson,PIT,null,28,RB,RB117,null,null,null,null,null,412
459,17102,Mack Brown,WAS,null,30,RB,RB118,null,null,null,null,null,413
460,14786,Patrick DiMarco,BUF,null,33,FB,RB119,null,null,null,null,null,414
461,16305,De'Anthony Thomas,KC,null,29,WR,WR183,null,null,null,null,null,415
462,19129,Khalfani Muhammad,TEN,null,27,RB,RB120,null,null,null,null,null,416
463,16856,Matt Jones,IND,null,26,RB,RB121,null,null,null,null,null,417
464,17197,Corey Grant,JAX,null,30,RB,RB122,null,null,null,null,null,418
465,18375,Peyton Barber,TB,null,28,RB,RB123,331,331,331,331,331,419
466,19029,Nathan Peterman,BUF,null,27,QB,QB44,1081,1081,1081,1081,1081,420
467,18197,Alex Erickson,CIN,null,29,WR,WR184,372,372,372,372,372,421
468,14876,Dion Sims,CHI,null,31,TE,TE53,null,null,null,null,null,422
469,17199,Akeem Hunt,KC,null,29,RB,RB124,null,null,null,null,null,423
470,16648,Troy Niklas,ARI,null,29,TE,TE54,null,null,null,null,null,424
471,16944,Kaelin Clay,BUF,null,30,WR,WR185,null,null,null,null,null,425
472,18985,Amara Darboh,SEA,null,28,WR,WR186,null,null,null,null,null,426
473,16946,Geremy Davis,LAC,null,30,WR,WR187,null,null,null,null,null,427
474,19041,Jake Elliott,CIN,14,27,K,K33,null,null,null,null,null,428
475,13987,Dwayne Allen,NE,null,32,TE,TE55,null,null,null,null,null,429
476,19078,Matt Dayes,CLE,null,27,RB,RB125,null,null,null,null,null,430
477,18115,Derek Watt,LAC,7,29,FB,RB126,null,null,null,null,null,431
478,19090,Devante Mays,GB,null,27,RB,RB127,null,null,null,null,null,432
479,18890,Patrick Mahomes,KC,12,26,QB,QB45,null,null,null,null,null,433
480,18103,Jakeem Grant Sr.,MIA,13,29,WR,WR188,null,null,null,null,null,434
481,16869,Jalston Fowler,TEN,null,27,RB,RB128,null,null,null,null,null,435
482,16395,Xavier Grimble,PIT,null,29,TE,TE56,760,760,760,760,760,436
483,16402,Andre Williams,LAC,null,29,RB,RB129,null,null,null,null,null,437
484,15378,Levine Toilolo,ATL,null,30,TE,TE57,null,null,null,null,null,438
485,18118,Brandon Allen,LAR,10,29,QB,QB46,null,null,null,null,null,439
486,15725,Brittan Golden,ARI,null,33,WR,WR189,null,null,null,null,null,440
487,18262,Stephen Anderson,HOU,12,29,TE,TE58,null,null,null,null,null,441
488,18079,Kevin Hogan,CLE,13,29,QB,QB47,null,null,null,null,null,442
489,4737,Drew Stanton,ARI,null,37,QB,QB48,null,null,null,null,null,443
490,19073,Harrison Butker,CAR,12,26,K,K34,null,null,null,null,null,444
491,18153,Daniel Lasco,NO,null,29,RB,RB130,null,null,null,null,null,445
492,14971,Landry Jones,PIT,null,33,QB,QB49,null,null,null,null,null,446
493,17974,Trevone Boykin,SEA,null,28,QB,QB50,null,null,null,null,null,447
494,18241,Johnny Holton,LV,null,30,WR,WR190,null,null,null,null,null,448
495,14219,Kellen Moore,DAL,null,32,QB,QB51,null,null,null,null,null,449
496,17360,Rod Smith,DAL,null,30,RB,RB131,null,null,null,null,null,450
497,14445,Rhett Ellison,NYG,null,33,TE,TE59,null,null,null,null,null,451
498,15263,Luke Willson,SEA,null,32,TE,TE60,712,712,712,712,712,452
499,14783,James Develin,NE,null,33,FB,RB132,null,null,null,null,null,453
500,13723,Nick Foles,PHI,10,33,QB,QB52,null,null,null,null,null,454
501,14496,Garrett Celek,SF,null,33,TE,TE61,null,null,null,null,null,455
502,16907,Brett Hundley,GB,null,28,QB,QB53,835,835,835,835,835,456
503,16210,Jay Prosch,HOU,null,29,FB,RB133,null,null,null,null,null,457
504,18652,C.J. Ham,MIN,7,28,FB,RB134,null,null,null,null,null,458
505,18376,Alan Cross,TB,null,28,FB,RB135,null,null,null,null,null,459
506,16116,AJ McCarron,CIN,null,31,QB,QB54,null,null,null,null,null,460
507,17005,Geoff Swaim,DAL,13,28,TE,TE62,null,null,null,null,null,461
508,18114,Danny Vitale,CLE,null,28,FB,RB136,956,956,956,956,956,462
509,16378,Keith Smith,DAL,6,30,FB,RB137,null,null,null,null,null,463
510,15694,Case Keenum,MIN,7,34,QB,QB55,null,null,null,null,null,464
511,14847,Ifeanyi Momah,ARI,null,32,WR,WR191,null,null,null,null,null,465
512,12083,Derek Anderson,CAR,null,38,QB,QB56,null,null,null,null,null,466
513,16041,Jimmy Garoppolo,NE,6,30,QB,QB57,null,null,null,null,null,467
514,13741,Brandon Bolden,NE,8,32,RB,RB138,null,null,null,null,null,468
515,8723,Matt Cassel,TEN,null,39,QB,QB58,null,null,null,null,null,469
